时间,attention,瞬时总分数,瞬时得分比,瞬时TScore状态,瞬时生成总方块数,瞬时生成得分方块数,瞬时生成惩罚方块数,瞬时命中得分方块数,瞬时命中惩罚方块数,每个lastGradScore记录,每个intev间隔内，生成的总方块数,每个intev间隔内，生成的得分块数,每个intev间隔内，生成的惩罚方块数
2022:11:23:14:48:39:838931,56.825318462519,4340,88.12165,False,197,162,35,182,0,135,1,0,1
2022:11:23:14:48:42:345306,59.7483766069051,4365,87.73852,False,199,163,36,183,0,85,2,2,0
2022:11:23:14:48:44:851311,60.5708665139712,4415,87.86053,True,201,165,36,185,0,110,2,1,1
2022:11:23:14:48:47:354934,61.5583230965721,4465,88.41567,False,202,166,36,187,0,100,1,1,0
2022:11:23:14:48:49:863721,59.8355092547147,4490,87.60959,True,205,167,38,188,0,125,1,1,0
2022:11:23:14:48:52:373011,58.7248689350985,4565,88.21239,False,207,169,38,191,0,100,4,2,2
2022:11:23:14:48:54:878590,59.8135964679009,4615,88.3252,True,209,171,38,193,0,150,1,1,0
2022:11:23:14:48:57:383387,59.8135964679009,4625,87.67757,False,211,173,38,194,0,150,3,3,0
2022:11:23:14:48:59:899901,59.8135964679009,4675,87.38302,False,214,175,39,196,0,135,2,2,0
2022:11:23:14:49:02:399240,59.8135964679009,4750,87.55745,False,217,177,40,199,0,110,3,2,1
2022:11:23:14:49:04:909636,59.7724821856586,4825,87.72712,True,220,180,40,202,0,135,3,2,1
2022:11:23:14:49:07:419220,60.524663323506,4900,87.89222,True,223,182,41,205,0,200,3,3,0
2022:11:23:14:49:09:921693,60.0467154663747,4975,88.05295,True,226,184,42,208,0,225,3,2,1
2022:11:23:14:49:12:427668,51.1614792500684,5010,87.51077,False,229,187,42,210,0,225,3,2,1
2022:11:23:14:49:14:930463,49.6127584376765,5085,88.43463,False,230,188,42,213,0,185,2,2,0
2022:11:23:14:49:17:448133,52.6675590654554,5110,88.1033,False,232,190,42,214,0,185,1,1,0
2022:11:23:14:49:19:950759,51.8337607607205,5160,88.58354,False,233,191,42,216,0,135,2,2,0
2022:11:23:14:49:22:451073,51.3759987937161,5185,88.63233,True,234,192,42,217,0,150,1,1,0
2022:11:23:14:49:24:960206,52.0496092295943,5210,88.6807,False,235,193,42,218,0,100,1,1,0
2022:11:23:14:49:27:470145,50.2167128763593,5235,89.10623,False,235,193,42,219,0,100,1,1,0
2022:11:23:14:49:29:977141,52.9885171006579,5235,89.10623,False,235,193,42,219,0,75,0,0,0
